id,name,country,currency,sector,employees,price,inventory,monthly_revenue,monthly_cost,cumulative_profit,fiat_debt,productivity,product_quality,reputation,risk,fraud_tendency,truth_score,truth_positive,truth_debt,top_truth_layers
agent_00ee380ed0,Nexus Freight 983,Ulmarreich,ULM,logistics,3.3,323865433.3945,34903.3344,0.0,607.1984,-427413.8632,21172.0139,1.067604,0.839972,0.266773,1.0,0.01933,-116055.0753,48.0593,116103.1345,"{temporal=-110839.05, legal=-10657.58, liquidity=-7832.32, social=-1409.47, causal=+22.98, existence=+16.00, attention=+0.20, potential=+0.08}"
agent_221d6738be,Iron Homes 984,Faronreich,FAR,housing,13.42,701251725.3879,10506.7968,0.0,65.7741,1208293.6028,1798.5547,0.645912,0.774901,0.99,0.846121,0.016604,71.6098,105.949,34.3392,"{liquidity=-34.34, causal=+32.72, legal=+30.35, existence=+15.49, social=+6.38, temporal=+2.07, attention=+0.83, infrastructure=+0.66, ...}"
agent_a5117bb808,Helix Nutrition 985,Damaria,DAM,food,5.71,44300540.1478,3964.352,0.0,28.7431,501420.5789,349.2709,0.804613,0.432453,0.779453,1.0,0.011668,43.5733,60.0004,16.4271,"{liquidity=-16.43, causal=+15.48, existence=+15.48, legal=+14.28, social=+2.80, health=+1.49, temporal=+0.86, attention=+0.35, ...}"
agent_9f4e1afb50,Nova Academy 986,Jorvikmark,JOR,education,41.1,31394726.25,11352.0545,0.0,215.3658,133986.5821,3788.1543,0.773246,0.660569,0.754771,1.0,0.021622,-752.8934,119.2848,872.1782,"{liquidity=-872.18, causal=+51.81, legal=+15.34, existence=+13.40, social=+9.42, temporal=+5.88, attention=+2.53, epistemic=+1.11, ...}"
agent_320407d354,Iron Residences 987,Ulmarreich,ULM,housing,19.62,868775103.0993,19728.2758,0.0,40.1349,1644974.2127,899.3001,1.025328,0.55533,0.957723,0.707394,0.029491,66.2323,105.0191,38.7869,"{liquidity=-38.79, causal=+34.36, legal=+27.99, existence=+14.13, social=+6.72, temporal=+2.94, attention=+1.20, infrastructure=+0.55, ...}"
agent_397fb6a5ac,Kinetic Agro 988,Faronreich,FAR,agriculture,3.0,357875559.3585,8827.9662,0.0,1926.1481,-699904.3904,68580.3435,1.101499,0.660458,0.108843,1.0,0.030574,-187501.7077,31.1161,187532.8237,"{temporal=-182647.44, legal=-15995.82, liquidity=-10888.97, social=-2442.84, existence=+13.26, causal=+12.60, attention=+0.15, potential=+0.06}"
agent_1bff3c0c25,Signal Travel 989,Praxmark,PRA,tourism,5.63,717634.8432,25405.4622,0.0,1989.7322,-389807.8438,70172.1615,0.931365,0.466213,0.232788,1.0,0.034202,-21625.4397,47.4656,21672.9053,"{temporal=-14233.79, legal=-4708.39, liquidity=-3428.99, social=-543.87, causal=+23.28, existence=+14.78, risk_reduction=-5.13, attention=+0.35, ...}"
agent_d3699b8a9f,Pioneer Insurance 990,Ulmarreich,ULM,insurance,34.71,331961492.4884,46441.8878,0.0,150.1396,313548.8777,1025.02,1.017008,0.653577,0.99,0.749898,0.015249,174.5235,174.5235,0.0,"{causal=+61.24, legal=+49.73, existence=+14.32, social=+11.57, temporal=+5.27, attention=+2.14, risk_reduction=+0.35, liquidity=+0.27, ...}"
agent_70ac1223f6,Saffron Residences 991,Ulmarreich,ULM,housing,9.76,965172147.6953,19508.8335,0.0,52.4614,795922.5577,881.6092,1.088358,0.900212,0.910561,0.894983,0.022078,77.5037,80.7246,3.2209,"{causal=+23.43, legal=+22.09, existence=+15.24, social=+4.48, liquidity=-3.22, temporal=+1.49, attention=+0.60, infrastructure=+0.55, ...}"
agent_3ea9d9edca,Kinetic Foods 992,Westrmark,WES,food,3.0,35719894.2526,231.6123,0.0,20.0514,436962.8436,485.9346,0.679336,0.740261,0.816347,0.850024,0.019469,-2.5609,31.1389,33.6998,"{liquidity=-33.70, existence=+14.27, legal=+4.83, causal=+4.76, health=+1.78, social=+0.99, temporal=+0.32, risk_reduction=+0.17, ...}"
agent_3034d37daa,Union Arms 993,Damaria,DAM,defense,24.8,282068524.2399,4657.2753,0.0,204.8817,715298.4912,3414.4022,0.717156,0.848861,0.942,0.619535,0.037637,-10.7367,88.8406,99.5773,"{liquidity=-92.08, causal=+30.51, legal=+19.28, existence=+13.71, ecological=-7.14, social=+6.05, temporal=+3.69, attention=+1.53, ...}"
agent_269489a3cd,Meridian Build 994,Galenheim,GAL,construction,12.83,460996276.9452,9561.2652,0.0,60.1458,414467.163,599.2404,0.861032,0.878271,0.99,0.724459,0.010118,42.9381,83.4732,40.5351,"{liquidity=-40.54, causal=+25.26, legal=+20.31, existence=+16.27, social=+4.80, temporal=+1.95, infrastructure=+0.98, attention=+0.79, ...}"
agent_912a5a2ced,Kinetic Nutrition 995,Belreich,BEL,food,5.35,112930699.1191,4824.9743,0.0,322.5336,636043.8177,10914.8278,0.90332,0.377255,0.01,1.0,0.044812,-54088.7879,37.0746,54125.8625,"{temporal=-50924.33, legal=-5274.72, liquidity=-3860.15, social=-722.64, causal=+15.64, existence=+13.64, health=+0.94, attention=+0.33, ...}"
agent_65d116f8f8,Civitas Attention 996,Galenheim,GAL,media,11.15,63347522.1048,10550.7176,0.0,1467.4902,-343169.7011,50258.4408,0.810712,0.6561,0.310093,1.0,0.050059,-34953.3725,54.0597,35007.4322,"{temporal=-31392.90, legal=-4159.29, liquidity=-2845.19, social=-541.25, causal=+28.10, existence=+14.29, attention=+0.69, epistemic=+0.43, ...}"
agent_02ac752ed0,Signal Law 997,Ulmarreich,ULM,legal,26.46,477716834.8684,14256.8588,0.0,138.9863,445574.0336,1622.1121,0.68537,0.927155,0.99,0.782916,0.007914,98.6587,126.7222,28.0635,"{causal=+40.35, legal=+36.93, liquidity=-28.06, existence=+13.34, social=+8.23, temporal=+4.01, attention=+1.63, epistemic=+1.32, ...}"
agent_4ec21d1ec8,Signal Mobility 998,Xandland,XAN,mobility,33.6,476047302.4181,19329.7704,0.0,191.3421,328524.1154,30.0115,0.833318,0.320633,0.655558,1.0,0.014097,151.8562,151.9092,0.0531,"{causal=+53.95, legal=+39.40, existence=+15.82, social=+10.29, temporal=+5.11, attention=+2.07, infrastructure=+0.06, liquidity=-0.05, ...}"
agent_c19bbe1171,Nexus Agro 999,Dravesia,DRA,agriculture,3.0,59380432.1724,4480.5249,0.0,480.0059,-175726.6837,16646.5781,0.714448,0.740265,0.279063,1.0,0.010255,-2397.9954,24.0154,2422.0108,"{temporal=-1481.86, liquidity=-647.22, legal=-413.83, social=-20.68, existence=+13.94, causal=+6.81, attention=+0.14, potential=+0.07}"
agent_e8c9864895,Union Security 1000,Ulmarreich,ULM,security,13.57,767140444.8241,16757.095,0.0,61.7183,216718.5813,443.308,0.87894,0.516854,0.872457,1.0,0.043794,83.3279,83.4052,0.0773,"{causal=+26.53, legal=+21.84, existence=+13.74, social=+5.00, temporal=+2.06, attention=+0.84, liquidity=-0.08, potential=+0.05, ...}"
agent_a7cf637bb2,Omni Guard 1001,Arcmere,ARC,security,17.64,276510200.5131,8177.4284,0.0,165.6995,774902.3868,4057.3153,0.935541,0.806125,0.84,0.867415,0.025805,-166.6303,86.6966,253.3269,"{liquidity=-253.33, causal=+29.68, legal=+19.52, existence=+13.89, social=+5.65, temporal=+2.66, attention=+1.09, risk_reduction=+0.24, ...}"
agent_140103f206,Saffron Arms 1002,Quorinreich,QUO,defense,26.93,829075196.8562,20320.6823,0.0,556.9865,211948.0084,17443.9837,1.158152,0.367855,0.057449,1.0,0.13607,-25065.3983,79.9937,25145.3921,"{temporal=-21240.92, legal=-3373.77, liquidity=-2789.85, social=-279.80, causal=+46.46, existence=+15.28, attention=+1.66, ecological=-0.40, ...}"
agent_2263170386,Prism Capital 1003,Dravesia,DRA,finance,10.03,62540824.4315,9108.9111,0.0,64.7016,242185.9681,50.8723,1.484245,0.431596,0.780884,1.0,0.078014,53.9276,54.0041,0.0765,"{causal=+15.13, existence=+12.94, legal=+12.41, social=+2.92, temporal=+1.45, liquidity=+0.76, attention=+0.62, epistemic=-0.06, ...}"
agent_faf573700d,Kinetic Insurance 1004,Ulmarreich,ULM,insurance,27.78,270128345.8037,34718.5359,0.0,50.1426,473832.1083,339.4542,1.313221,0.890123,0.99,0.879993,0.050547,143.2076,143.2076,0.0,"{causal=+46.54, legal=+42.62, existence=+13.31, social=+8.85, temporal=+4.17, attention=+1.71, risk_reduction=+1.25, liquidity=+1.06, ...}"
agent_5360e294ca,Signal Scholars 1005,Xandland,XAN,education,28.13,191695333.5243,5025.2687,0.0,92.2771,863513.1804,935.004,0.721924,0.47198,0.780281,0.870393,0.019236,59.6038,100.6685,41.0646,"{liquidity=-41.06, causal=+34.88, legal=+23.33, existence=+12.53, social=+6.98, temporal=+4.13, attention=+1.73, epistemic=+0.98, ...}"
