id,borrower,lender,promised_family,promised_amount,stake,due_step,fulfilled
CR_54_A044,A044,A014,produce_goods,3.8500000000000005,3.5,59,True
CR_55_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,60,True
CR_56_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,61,True
CR_56_A021,A021,A014,education,3.8500000000000005,3.5,61,True
CR_56_A041,A041,A014,repair_harm,3.8500000000000005,3.5,61,True
CR_57_A001,A001,A014,infrastructure_maintenance,3.8500000000000005,3.5,62,True
CR_58_A005,A005,A014,norm_reform,3.8500000000000005,3.5,63,True
CR_58_A008,A008,A014,truth_audit,3.8500000000000005,3.5,63,True
CR_58_A030,A030,A014,interregional_bridge,3.8500000000000005,3.5,63,True
CR_60_A027,A027,A014,voluntary_behavior_contract,3.8500000000000005,3.5,65,True
CR_60_A044,A044,A014,produce_goods,3.8500000000000005,3.5,65,True
CR_62_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,67,True
CR_62_A021,A021,A014,education,3.8500000000000005,3.5,67,True
CR_63_A001,A001,A014,infrastructure_maintenance,3.8500000000000005,3.5,68,True
CR_63_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,68,True
CR_64_A008,A008,A014,truth_audit,3.8500000000000005,3.5,69,True
CR_64_A030,A030,A014,interregional_bridge,3.8500000000000005,3.5,69,True
CR_66_A027,A027,A014,voluntary_behavior_contract,3.8500000000000005,3.5,71,True
CR_68_A007,A007,A014,causal_intervention,3.8500000000000005,3.5,73,True
CR_68_A021,A021,A014,education,3.8500000000000005,3.5,73,True
CR_69_A001,A001,A014,infrastructure_maintenance,3.8500000000000005,3.5,74,True
CR_69_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,74,True
CR_70_A008,A008,A014,truth_audit,3.8500000000000005,3.5,75,True
CR_70_A030,A030,A014,interregional_bridge,3.8500000000000005,3.5,75,True
CR_71_A039,A039,A014,education,3.8500000000000005,3.5,76,True
CR_72_A027,A027,A014,voluntary_behavior_contract,3.8500000000000005,3.5,77,True
CR_73_A034,A034,A014,restore_agency,3.8500000000000005,3.5,78,True
CR_74_A007,A007,A014,causal_intervention,3.8500000000000005,3.5,79,True
CR_74_A021,A021,A014,education,3.8500000000000005,3.5,79,True
CR_74_A031,A031,A014,truth_audit,3.8500000000000005,3.5,79,True
CR_75_A001,A001,A014,infrastructure_maintenance,3.8500000000000005,3.5,80,True
CR_75_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,80,True
CR_76_A002,A002,A014,norm_reform,3.8500000000000005,3.5,81,True
CR_76_A008,A008,A014,truth_audit,3.8500000000000005,3.5,81,True
CR_76_A030,A030,A014,interregional_bridge,3.8500000000000005,3.5,81,True
CR_78_A027,A027,A014,voluntary_behavior_contract,3.8500000000000005,3.5,83,True
CR_79_A017,A017,A014,repair_harm,3.8500000000000005,3.5,84,True
CR_79_A034,A034,A014,restore_agency,3.8500000000000005,3.5,84,True
CR_80_A007,A007,A014,causal_intervention,3.8500000000000005,3.5,85,True
CR_80_A016,A016,A014,truth_audit,3.8500000000000005,3.5,85,True
CR_80_A021,A021,A014,education,3.8500000000000005,3.5,85,True
CR_80_A026,A026,A014,insurance_underwrite,3.8500000000000005,3.5,85,True
CR_81_A001,A001,A014,infrastructure_maintenance,3.8500000000000005,3.5,86,True
CR_81_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,86,True
CR_81_A027,A027,A014,voluntary_behavior_contract,3.8500000000000005,3.5,86,True
CR_81_A031,A031,A014,truth_audit,3.8500000000000005,3.5,86,True
CR_82_A002,A002,A014,norm_reform,3.8500000000000005,3.5,87,True
CR_82_A008,A008,A014,truth_audit,3.8500000000000005,3.5,87,True
CR_82_A030,A030,A014,interregional_bridge,3.8500000000000005,3.5,87,True
CR_82_A039,A039,A014,education,3.8500000000000005,3.5,87,True
CR_83_A008,A008,A014,truth_audit,3.8500000000000005,3.5,88,True
CR_83_A026,A026,A014,insurance_underwrite,3.8500000000000005,3.5,88,True
CR_83_A029,A029,A014,fair_exchange,3.8500000000000005,3.5,88,True
CR_83_A039,A039,A014,education,3.8500000000000005,3.5,88,True
CR_84_A027,A027,A014,voluntary_behavior_contract,3.8500000000000005,3.5,89,True
CR_85_A017,A017,A014,repair_harm,3.8500000000000005,3.5,90,True
CR_85_A034,A034,A014,restore_agency,3.8500000000000005,3.5,90,True
CR_86_A007,A007,A014,causal_intervention,3.8500000000000005,3.5,91,True
CR_86_A016,A016,A014,truth_audit,3.8500000000000005,3.5,91,True
CR_86_A021,A021,A014,education,3.8500000000000005,3.5,91,True
CR_86_A026,A026,A014,insurance_underwrite,3.8500000000000005,3.5,91,True
CR_87_A001,A001,A014,infrastructure_maintenance,3.8500000000000005,3.5,92,True
CR_87_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,92,True
