id,category,source,target,name,kind,fiat_value,truth_score
mor_774ec8846b,𝓣 Truth,mediacompany_8cbe79e001,household_f66e77d038,F(purchase/law),purchase,173678.59740264967,40.609385584815136
mor_0091609878,𝓣 Truth,strategiccompany_15e3635be0,platformcompany_8cfcacd280,F(purchase/agriculture),purchase,48618.860946556524,30.213890313321386
mor_2586c453e2,𝓣 Truth,strategiccompany_7e99b98e05,civiliancompany_61722ade62,F(purchase/finance),purchase,108219.55487255615,29.291460379484636
mor_0e5dce0c5d,𝓣 Truth,platformcompany_8cfcacd280,mediacompany_5ef862a9f2,F(purchase/health),purchase,19218.735532978302,31.432746328824106
mor_2fa37690d9,𝓣 Truth,mediacompany_ab3a187961,researchcompany_f4de8c9e09,F(purchase/food),purchase,12978.945203222638,27.5633130597865
mor_6f772938b9,𝓣 Truth,civiliancompany_61722ade62,researchcompany_82dc0f9edf,F(purchase/health),purchase,5175.873892282996,27.305462442812868
mor_3bbe58a843,𝓣 Truth,researchcompany_82dc0f9edf,country_57c0c633fd,F(purchase/biotech),purchase,12230.532801474814,26.493003031542184
mor_35dc3f004d,𝓣 Truth,mediacompany_7eef8ee6fc,civiliancompany_bd4c5d21f6,F(purchase/media),purchase,8524.406968653457,18.954903346414884
mor_e9e1d74684,𝓣 Truth,industrialcompany_a47144cce2,researchcompany_2204f741cb,F(purchase/construction),purchase,73372.43994483458,36.06794301876476
mor_93f1f8ccfa,𝓣 Truth,industrialcompany_f013da2dd3,industrialcompany_d0ca60b2b9,F(purchase/insurance),purchase,14974.154341157151,28.78131574657585
mor_d886424ae7,𝓣 Truth,mediacompany_f8e14ee9a7,household_d7640f0713,F(purchase/tourism),purchase,12278.855498622637,20.737208976928603
mor_f84bee9692,𝓣 Truth,industrialcompany_7faa2fedf2,strategiccompany_6e611815a5,F(purchase/water),purchase,5726.6785207471,26.4027331342316
mor_dce778496a,𝓣 Truth,researchcompany_2204f741cb,country_ad40e6eea8,F(purchase/biotech),purchase,21374.856230765665,33.64203498478533
mor_744cb0b6c9,𝓣 Truth,industrialcompany_eefa11d327,industrialcompany_f2d67fe698,F(purchase/energy),purchase,10831.05005010418,32.03978427110368
mor_cf4063a892,𝓣 Truth,researchcompany_7dcb6f4e02,strategiccompany_2301e228a4,F(purchase/research),purchase,105795.50986749347,36.352640103724504
mor_ce17753b0a,𝓣 Truth,researchcompany_75b8d7c03e,strategiccompany_53bfa25ba4,F(purchase/biotech),purchase,5478.834712783291,28.791590939825372
mor_fa1d050fe5,𝓣 Truth,strategiccompany_2f5839186f,household_f66e77d038,F(purchase/defense),purchase,5630.531377933463,35.829932622148895
mor_84641ae2e2,𝓣 Truth,industrialcompany_a4c745519b,platformcompany_77affdcf0d,F(purchase/semiconductors),purchase,3118.619905498071,26.31516469843255
mor_add9da079b,𝓣 Truth,maritimesecurityleague_5d151daa96,country_ad40e6eea8,F(defense-support),defense,0.0,13.575566544343124
mor_38bded3e15,𝓣 Truth,civiliancompany_61722ade62,researchcompany_7dcb6f4e02,F(purchase/health),purchase,64624.64787075482,35.035195763226525
mor_8f57dd592d,𝓣 Truth,industrialcompany_d0ca60b2b9,country_e2867ab19f,F(purchase/construction),purchase,26950.00966418612,32.02844561914878
mor_e947fc722a,𝓣 Truth,industrialcompany_0fa3daf942,civiliancompany_bd4c5d21f6,F(purchase/software),purchase,44729.2391356368,34.08231241713286
mor_02476f0148,𝓣 Truth,industrialcompany_eefa11d327,household_a42f642700,F(purchase/energy),purchase,15912.244972979037,32.74720308020384
mor_ab5fb8de50,𝓣 Truth,mediacompany_ab3a187961,platformcompany_77affdcf0d,F(purchase/food),purchase,71539.97694565622,33.734003974957346
mor_50a3ba1633,𝓣 Truth,strategiccompany_2f5839186f,industrialcompany_f2d67fe698,F(purchase/defense),purchase,7762.724164739537,27.381546620908377
mor_ae40dd6782,𝓣 Truth,mediacompany_8cbe79e001,industrialcompany_a4c745519b,F(purchase/law),purchase,31705.36353865527,32.22024445608609
mor_e9449b362f,𝓣 Truth,strategiccompany_53bfa25ba4,platformcompany_77affdcf0d,F(purchase/agriculture),purchase,46551.8119364729,33.33384309436129
mor_d013f40b0c,𝓣 Truth,industrialcompany_f2d67fe698,strategiccompany_15e3635be0,F(purchase/construction),purchase,6490.90627493454,27.939472860040592
mor_819741fe33,𝓣 Truth,strategiccompany_2301e228a4,industrialcompany_45e433d2eb,F(purchase/cybersecurity),purchase,15553.043406077066,30.28493415084538
mor_abf6995022,𝓣 Truth,strategiccompany_ef233feba5,researchcompany_7dcb6f4e02,F(purchase/defense),purchase,30478.77286272034,34.366437458681375
mor_f4708c60bf,𝓣 Truth,strategiccompany_6d22701402,strategiccompany_ef233feba5,F(purchase/space),purchase,16777.857473816148,33.32451807240185
mor_e881432840,𝓣 Truth,industrialcompany_dace4c1a97,household_874eb99194,F(purchase/construction),purchase,16116.72264714734,30.24233265088015
mor_4f61e6754d,𝓣 Truth,country_fca545067b,mediacompany_2cb705f3f4,audit,audit,0.0,11.366971756651932
mor_915f471841,𝓣 Truth,country_ad40e6eea8,industrialcompany_45e433d2eb,audit,audit,0.0,9.671529432612749
mor_29654ccd51,𝓣 Truth,developmentbank_ef1e9b116f,mediacompany_5ef862a9f2,audit,audit,0.0,13.48180961411643
mor_8e1e3ea1a4,𝓣 Truth,unitednations_3d6f5cd54f,industrialcompany_956f5c8acc,audit,audit,0.0,13.212196785279371
