id,name,country,currency,sector,employees,price,inventory,monthly_revenue,monthly_cost,cumulative_profit,fiat_debt,productivity,product_quality,reputation,risk,fraud_tendency,truth_score,truth_positive,truth_debt,top_truth_layers
agent_9b354eb2ba,Signal Care 11,Eldorland,ELD,health,111.53,659.7304,11433.3898,532.3647,552.9523,86894.4262,419.3573,1.592498,0.821329,0.811414,0.317983,0.007225,134.1996,136.1855,1.9859,"{causal=+43.23, existence=+18.63, legal=+15.72, temporal=+11.38, social=+9.76, attention=+6.18, health=+6.16, potential=+2.88, ...}"
agent_04b3e2db5d,Nova Seed 12,Borealgrad,BOR,agriculture,35.66,412.2133,4692.9525,0.0,239.6061,-37343.7262,5030.7361,1.11812,0.907853,0.915344,0.667079,0.013649,60.4743,64.9134,4.4391,"{causal=+24.61, existence=+17.08, social=+4.52, liquidity=-4.44, legal=+3.06, potential=+2.51, attention=+2.20, temporal=+1.58}"
agent_9cfcf8facf,Omni Mutual 13,Damaria,DAM,insurance,162.93,1368.6504,1381.3552,6444.3618,504.8134,250006.1564,598.9412,0.853493,0.829299,0.99,0.516565,0.075797,116.6718,116.6718,0.0,"{causal=+32.72, legal=+18.67, existence=+15.42, temporal=+12.38, social=+9.10, attention=+7.33, risk_reduction=+5.16, potential=+2.29, ...}"
agent_8aa44a5664,Nova Habitat 14,Faronreich,FAR,housing,155.14,5411.4631,2562.0521,0.0,582.5133,733426.518,350.788,0.848222,0.770818,0.99,0.448673,0.069542,119.0053,120.4511,1.4458,"{causal=+30.84, existence=+20.40, legal=+19.61, temporal=+12.04, social=+11.30, attention=+7.12, infrastructure=+2.57, potential=+2.13, ...}"
agent_2dae1ffb42,Argent Energy 15,Faronreich,FAR,energy,789.32,1458.1138,61852.2992,10650.9293,3834.4294,56353.4682,8248.7715,1.667588,0.80428,0.99,0.519939,0.032477,528.408,540.6253,12.2173,"{causal=+206.36, legal=+75.98, temporal=+67.41, social=+44.95, attention=+39.12, existence=+19.10, infrastructure=+15.04, ecological=-9.71, ...}"
agent_b1f8e157e9,Cobalt Agro 16,Istrpolis,IST,agriculture,78.98,3141.3921,6816.8973,0.0,1772.8294,-164262.4429,56480.7313,1.006204,0.372062,0.411328,0.847289,0.015847,-2780.8905,86.1214,2867.012,"{temporal=-1512.06, legal=-899.94, liquidity=-299.70, social=-224.59, causal=+46.07, existence=+18.31, attention=+4.87, potential=+1.03}"
agent_87f76e0830,Nexus Markets 17,Galenheim,GAL,finance,503.65,806.1582,15344.2501,2510.4306,1916.7633,-39920.7403,28772.6691,0.668979,0.730995,0.864295,0.406175,0.049366,323.8701,327.8551,3.985,"{causal=+147.04, legal=+32.34, temporal=+31.78, social=+26.86, attention=+26.44, existence=+17.44, liquidity=-3.98, potential=+2.02}"
agent_dddcf6bac3,Cobalt Softworks 18,Galenheim,GAL,software,818.35,907.848,73808.2161,6387.4545,1306.2442,-353.6315,8967.9035,1.76356,0.535802,0.910228,0.407563,0.023883,570.9551,576.2989,5.3438,"{causal=+232.75, legal=+83.62, temporal=+72.77, social=+50.85, attention=+42.38, existence=+18.79, liquidity=-5.34, potential=+2.71, ...}"
agent_eb375c50c8,Terra Foods 19,Lumerterra,LUM,food,155.99,827.0415,1169.0627,0.0,1145.2836,440341.4649,726.6334,1.081061,0.819966,0.907265,0.355915,0.040017,163.8502,165.461,1.6109,"{causal=+41.14, existence=+24.59, health=+19.99, legal=+16.45, temporal=+14.62, social=+10.35, attention=+7.97, risk_reduction=+6.57, ...}"
agent_e73f70056f,Vertex Motors 20,Galenheim,GAL,mobility,355.91,1739.9545,18578.3702,0.0,2468.8167,-73923.4364,33601.6085,0.904533,0.66064,0.99,0.499771,0.047032,194.7698,214.6028,19.833,"{causal=+111.85, liquidity=-19.83, attention=+19.82, existence=+19.68, temporal=+15.49, social=+13.69, potential=+1.83, infrastructure=+0.64, ...}"
agent_6719749499,Civitas Care 21,Borealgrad,BOR,health,130.16,850.1351,1032.3336,0.0,945.491,279005.0945,1052.0657,0.65379,0.603144,0.873172,0.320009,0.012297,131.1508,135.672,4.5211,"{causal=+36.72, existence=+15.72, legal=+14.48, health=+12.01, temporal=+11.58, social=+9.61, attention=+6.47, liquidity=-4.52, ...}"
agent_07197de95d,Green Nutrition 22,Borealgrad,BOR,food,516.58,310.9077,3467.9848,0.0,1572.4259,617804.1929,636.3297,1.038633,0.787104,0.99,0.173668,0.024078,344.6412,346.2576,1.6164,"{causal=+84.96, health=+45.00, temporal=+40.02, existence=+38.10, legal=+33.91, attention=+23.52, social=+21.50, risk_reduction=+15.95, ...}"
agent_241d15f44d,Quantum Fields 23,Lumerterra,LUM,agriculture,74.48,1322.3156,9745.4936,0.0,1932.0049,-235475.4805,52005.9166,0.805298,0.845181,0.657349,0.975626,0.008764,-1864.6387,83.2338,1947.8725,"{temporal=-1017.59, legal=-616.94, liquidity=-214.98, social=-141.79, causal=+42.62, existence=+18.63, attention=+4.59, potential=+2.33}"
agent_6df9a4b87b,Pioneer Grid 24,Kaelreich,KAE,energy,496.31,1396.8639,5723.7391,26085.7799,1058.5925,316542.1435,13.6398,0.763331,0.377547,0.738766,0.547455,0.029995,266.7333,269.6355,2.9022,"{causal=+95.06, legal=+38.06, temporal=+37.56, attention=+23.18, social=+22.76, existence=+18.41, infrastructure=+4.17, ecological=-2.65, ...}"
agent_cac783c1f9,Cobalt Motors 25,Borealgrad,BOR,mobility,831.6,1707.8527,50483.5987,729.4796,1663.6912,139308.1689,198.4068,0.959759,0.717835,0.989394,0.352097,0.060328,515.6842,516.0683,0.3841,"{causal=+192.98, legal=+81.45, temporal=+70.85, social=+46.09, attention=+40.56, existence=+22.16, potential=+1.98, infrastructure=+0.97, ...}"
agent_4113329a4e,Civitas Travel 26,Borealgrad,BOR,tourism,341.95,1873.0874,12089.1207,225.5709,1789.4794,214477.847,583.6155,1.020297,0.919679,0.99,0.256972,0.018699,213.1281,216.7504,3.6224,"{causal=+74.28, legal=+30.68, temporal=+28.51, social=+18.68, existence=+17.33, attention=+16.67, memory=+5.20, potential=+2.54, ...}"
agent_de27792833,Sol Guard 27,Borealgrad,BOR,security,76.67,878.0983,435.9322,0.0,362.6789,205704.6737,363.4631,0.97287,0.787519,0.99,0.473275,0.022182,78.6065,79.3065,0.7,"{causal=+20.01, existence=+15.24, legal=+8.48, social=+6.86, temporal=+5.40, security=+4.53, attention=+3.52, risk_reduction=+3.48, ...}"
agent_6b82cf69c0,Terra Residences 28,Galenheim,GAL,housing,242.7,1079.9112,1938.9714,7014.0881,1049.9013,520099.1861,116.8437,0.835905,0.70704,0.99,0.509239,0.023391,183.2655,183.7961,0.5306,"{causal=+46.29, legal=+33.52, existence=+23.14, temporal=+20.48, social=+18.37, attention=+11.44, infrastructure=+5.38, security=+3.85, ...}"
agent_04cc458c8d,Astra Travel 29,Galenheim,GAL,tourism,234.47,1348.0843,2055.2489,2213.4939,891.5074,212463.4932,119.0893,0.708086,0.760539,0.99,0.436763,0.061162,127.6428,129.733,2.0902,"{causal=+39.76, legal=+17.43, temporal=+16.92, existence=+16.26, social=+10.91, attention=+10.50, memory=+3.63, potential=+2.10, ...}"
agent_91fa749ab6,Nova Works 30,Lumerterra,LUM,construction,141.22,1888.8928,6700.283,10188.8955,889.5291,358406.4722,973.4691,1.494726,0.756368,0.99,0.274021,0.021358,138.2481,140.5909,2.3428,"{causal=+42.20, existence=+23.67, legal=+15.67, temporal=+11.96, infrastructure=+10.95, social=+9.16, attention=+6.70, liquidity=-2.34, ...}"
agent_905457ef88,Nova Assure 31,Galenheim,GAL,insurance,421.91,507.5168,5952.837,0.0,1172.0338,137762.6202,293.5919,0.962394,0.633869,0.99,0.266655,0.031696,251.378,251.378,0.0,"{causal=+82.14, legal=+40.91, temporal=+33.93, social=+20.85, attention=+20.20, existence=+15.04, risk_reduction=+8.31, liquidity=+2.54, ...}"
agent_bace8ebfa1,Sol Build 32,Borealgrad,BOR,construction,79.54,2637.681,4191.4536,500.6056,500.556,212220.7845,77.8033,1.372784,0.377204,0.801041,0.469347,0.016419,87.7693,87.8147,0.0454,"{causal=+27.99, existence=+16.74, legal=+11.76, temporal=+7.15, social=+6.79, attention=+3.91, infrastructure=+1.63, potential=+1.04, ...}"
