day,price_index,basic_price_index,broad_money,net_money,total_liability,created_today,destroyed_today,liability_today,events_today,tx_volume_today,unemployment,avg_health,avg_stress,avg_trust,avg_reputation,gini_positive_money,food_stock_ratio,water_stock_ratio,energy_stock_ratio,oxygen_stock_ratio,spares_stock_ratio,media_truth_index,media_manipulation_index,station_safety,orbit_debris_risk,appeals_granted_total,events_disputed_total,lambda_food,lambda_media,lambda_space
41,464.6779482209814,609.3714998359643,9219199.416057738,9219186.275029166,13.141028572382531,7193.647200623211,3358.7156491506125,3.843738083948552,1812,6094.358930411124,0.3433333333333333,0.5632000403113386,0.7143730617940429,0.9426319652927001,0.6472392393309687,0.20706290616056378,0.0,0.0,0.0,1.2538781446449934,0.00888320655668534,0.8515569176287504,0.10899090181591063,0.6978340660786853,0.03530729768487544,393,674,8.894134890378465,7.6048341840491736,13.479240257836656
42,465.58643610505334,609.4839283719512,9223338.731422633,9223317.337271128,21.394151506396213,7056.761769533053,3344.5688279917053,8.25312293401368,1843,5969.831806824476,0.3433333333333333,0.5477650544456197,0.7286202293476576,0.9479389420598786,0.6483549473369605,0.20830502013994745,0.0,0.0,0.0,1.2360845645879832,0.0,0.8516928531370116,0.078054853828047,0.6979936117975378,0.03220356629556258,403,696,8.857704513867475,7.513576173840583,13.450664268490042
43,467.5064708074212,610.1168421719406,9225130.62686096,9225101.250361066,29.37649989276131,5519.568396977307,3727.6729586511838,7.982348386365095,1813,3591.9819941729356,0.3433333333333333,0.5293623600803651,0.7439511781202796,0.9503778954332027,0.6487795962137443,0.21088998955591576,0.0,0.0,0.0,1.2184689203315433,0.0,0.5970370772818325,0.11946680230002323,0.6957892499452314,0.029847105203255765,415,717,8.821423356178673,7.423413259754496,13.422148860240844
44,470.15467461223835,611.1238978276976,9227680.924424134,9227643.485567067,37.43885706573417,6074.98699407775,3524.6894309040567,8.062357172972856,1854,3641.769332431535,0.3433333333333333,0.5193471722553419,0.7549213130224509,0.9544862335982289,0.6495075301598864,0.21250701342646905,0.0,0.0,0.0,1.2010294325176678,0.0,0.8071043921906462,0.10426924338482949,0.6950002169724417,0.027717259509683973,428,739,8.785290806111766,7.334332300637442,13.393693904657134
45,472.8816185854995,612.1912058240234,9230173.86093023,9230130.51186238,43.34906784973134,6020.2235374496095,3527.2870313522176,5.910210783997175,1811,3596.5310952175987,0.3433333333333333,0.5037641035930625,0.7683277082307854,0.9587483493794715,0.650204336229628,0.21474257547940545,0.0,0.0,0.0,1.1837643395819313,0.0,0.8899534307807971,0.09809634114987618,0.6915863669849497,0.026762966835468513,439,754,8.74930625496993,7.246320313029792,13.36529927357926
46,476.0297782099713,613.7340426331841,9232465.612242129,9232418.82980951,46.78243262063313,5765.955250974122,3474.203939076773,3.4333647709017883,1787,3687.9140625707787,0.34563758389261745,0.5033392508823129,0.7844693847245487,0.9618301424792122,0.6515340862531657,0.2171887319161805,0.0,0.0,0.0,1.166671897575552,0.0,0.8205498972690024,0.16809001588307643,0.6905152528160983,0.02527012704915697,450,780,8.713469096549574,7.159364469273434,13.336964839119274
47,486.3539090136595,618.4472492248235,9233894.411015486,9233839.951137109,54.45987837747762,5044.004758137309,3615.2059847798414,7.677445756844489,1770,3781.0756833261303,0.34563758389261745,0.5021883940781068,0.7997833285468422,0.9624928107932846,0.6518328031090325,0.2201759298219539,0.0,0.0,0.0,1.1497503799892363,0.0,0.5606756694258935,0.19102893838939136,0.6878496160009577,0.02432606036075865,461,803,8.677778727130105,7.073452095642153,13.30869047366034
48,497.5451413721532,623.5611162624149,9235347.612989321,9235285.51172366,62.10126566112537,5086.283733765747,3633.081759931907,7.6413872836477434,1799,6581.344995781371,0.34563758389261745,0.5049188752817866,0.8134297925417769,0.9644121028075683,0.6521383796170939,0.22275740667780264,0.0,0.0,0.0,1.1329980775787838,0.0,0.49664296248497053,0.1591165296916662,0.6842239402628252,0.023557679717652172,479,826,8.642234545463781,6.988570670494448,13.28047604985618
49,507.42688384916244,628.1265674684329,9237967.479838032,9237898.397823557,69.08201447606467,5514.628323323079,3374.644225934237,6.980748814939297,1762,4517.0901297926885,0.3468013468013468,0.5043780567185355,0.8261523528703975,0.9688723836417139,0.6534920449949905,0.2250506185286658,0.0,0.0,0.0,1.116413298192436,0.0,0.9074547817998609,0.10242000826529594,0.6804558593624372,0.02178147229214638,496,853,8.606835952765561,6.904707822448514,13.252321440630483
50,507.8767716979774,628.1355801811801,9239980.073635273,9239903.560580028,76.51305524476061,5478.025015209413,3465.4312179666276,7.431040768695951,1780,4516.609340989159,0.34797297297297297,0.5088385988081009,0.8379855952963353,0.9708971442166943,0.6543350720215976,0.22801959358280333,0.0,0.0,0.0,1.0999943665999516,0.0,0.7963841252823499,0.14152976931250486,0.6520143793046655,0.01966112033086638,503,874,8.571582352703032,6.821851328579132,13.224226519176348
